row_in_brouwer_2019.csv,title,average_number_records_to_discovery,average_percentage_records_to_discovery,n_trials_discovered,search,key,doi
47171,Dysfunctional attitudes or extreme response style as predictors of depressive relapse and recurrence after mobile cognitive therapy for recurrent depression,59.85,0.1175,62,additional,3IACGM6K,10.1016/j.jad.2018.09.002
12867,Cognitive Reactivity to Sad Mood Provocation and the Prediction of Depressive Relapse.,62.89,0.1235,62,cognitive,7SLKGQRP,NA
14781,Cognitive reactivity versus dysfunctional cognitions and the prediction of relapse in recurrent major depressive disorder.,63.19,0.1241,62,cognitive,3IGAPUQP,10.4088/JCP.14m09268
13242,"Cognitive reactivity, dysfunctional attitudes, and depressive relapse and recurrence in cognitive therapy responders.",65.56,0.1287,62,cognitive,ML6MVTAB,10.1016/j.brat.2012.01.008
18034,"Mood induced cognitive and emotional reactivity, life stress, and the prediction of depressive relapse.",69.48,0.1364,62,cognitive,48ZCG8IC,10.1016/j.brat.2008.06.011
18094,Differential cognitive response to a mood challenge following successful cognitive therapy or pharmacotherapy for unipolar depression.,69.85,0.1372,62,cognitive,BTCTYAEG,NA
26606,"Dysfunctional Attitudes and Episodes of Major Depression: Predictive Validity and Temporal Stability in Never-Depressed, Depressed, and Recovered Women",75.11,0.1475,62,diathesis,GDLLVBIM,10.1037/0021-843X.116.3.475
29498,Personality disorders predict relapse after remission from an episode of major depressive disorder: a 6-year prospective study.,80.32,0.1577,62,personality,UNA2JESH,10.4088/JCP.08m04200gre
14307,Recurrence of MDD: a prospective study of personality pathology and cognitive distortions.,81.11,0.1593,62,cognitive,2Z72I6DZ,10.1037/a0020456
16656,Predicting recurrence of major depressive disorder in young adults: a prospective study.,83.11,0.1632,62,cognitive,SZASCKDE,NA
16655,Predicting recurrence of major depressive disorder in young adults: An 18-month prospective study.,83.47,0.1639,62,cognitive,474EHINZ,NA
3364,Investigating associations between cortisol and cognitive reactivity to sad mood provocation and the prediction of relapse in remitted major depression.,83.5,0.164,62,behavior,SP2HFQR2,10.1016/j.ajp.2008.09.006
33993,Severity and comorbidity predict episode duration and recurrence of DSM-IV major depressive disorder.,84.48,0.1659,62,personality,6SHZNRNV,NA
31194,Recurrence of major depressive disorder and its predictors in the general population: results from the Netherlands Mental Health Survey and Incidence Study (NEMESIS).,84.97,0.1669,62,personality,WP4DWLKK,10.1017/S0033291712002395
16740,Relapse after cognitive behavior therapy of depression: Potential implications for longer courses of treatment.,88.32,0.1734,62,cognitive,4HXV5EQM,NA
15525,Rumination as a predictor of relapse in mindfulness-based cognitive therapy for depression.,92.61,0.1819,62,cognitive,G8QG2DNF,10.1348/147608310X520166
16816,Modeling relapse in unipolar depression: the effects of dysfunctional cognitions and personality disorders.,93.6,0.1838,62,cognitive,WXCPR7J8,NA
15001,Long-term outcome of major depressive disorder in psychiatric patients is variable.,95.68,0.1879,62,cognitive,VMES294C,NA
14682,Prediction of recurrence in recurrent depression and the influence of consecutive episodes on vulnerability for depression: a 2-year prospective study.,99.19,0.1948,62,cognitive,XNH9A4ET,NA
12965,Factors predicting the long-term illness course in a cohort of depressed inpatients.,99.31,0.195,62,cognitive,WAMN8PCN,10.1007/s00406-012-0379-7
14679,Prediction of recurrence in recurrent depression: A 5.5-year prospective study,99.55,0.1955,62,cognitive,3KYMUBBV,10.4088/JCP.08m04858blu
50936,Multiple risk factors predict recurrence of major depressive disorder in women,104.68,0.2056,62,missing,GTYLP2D6,10.1016/j.jad.2015.03.045
14067,Personality and cognitive vulnerability in remitted recurrently depressed patients.,111.66,0.2193,62,cognitive,F2ZJXWIX,10.1016/j.jad.2014.10.042
31387,Temperament and character as predictors of recurrence in remitted patients with major depression: a 4-year prospective follow-up study.,113.11,0.2221,62,personality,X7L647BT,10.1016/j.psychres.2014.12.017
17266,"Cognitive Vulnerability, Lifetime Risk, and the Recurrence of Major Depression in Graduate Students.",123.84,0.2432,62,cognitive,5HWKK3YB,NA
50934,Prediction of the three-year course of recurrent depression in primary care patients: Different risk factors for different outcomes,124.56,0.2446,62,missing,4FARZIFW,10.1016/j.jad.2007.04.017
47740,Prevention of Relapse/Recurrence in Major Depressive Disorder With Either Mindfulness-Based Cognitive Therapy or Cognitive Therapy,129.35,0.254,62,additional,5MRL6GQS,10.1037/ccp0000266
18297,Psychosocial predictors of the short-term course and outcome of major depression: A longitudinal study of a nonclinical sample with recent-onset episodes.,135.42,0.2659,62,cognitive,JN887WXS,NA
18612,Relationship of posttreatment decentering and cognitive reactivity to relapse in major depression.,140.5,0.2759,62,cognitive,R9DLJLP7,10.1037/0022-006X.75.3.447
11768,Differential predictors of response to preventive cognitive therapy in recurrent depression: a 2-year prospective study.,189.63,0.3724,62,cognitive,XLUBYWNU,10.1159/000092893
