iteration,record_id,n_inclusions,label
0,2894,1,1
1,45521,1,0
2,32061,1,0
3,32370,1,0
4,33221,1,0
5,6451,1,0
6,27401,1,0
7,31333,1,0
8,27251,1,0
9,355,1,0
10,647,1,0
11,18587,1,0
12,24177,1,0
13,11685,2,1
14,23546,2,0
15,16276,3,1
16,16226,4,1
17,13543,4,0
18,11394,4,0
19,32432,4,0
20,10231,4,0
21,7460,4,0
22,10209,4,0
23,12013,5,1
24,25978,5,0
25,13393,6,1
26,43062,7,1
27,15948,7,0
28,16037,7,0
29,43835,7,0
30,15082,8,1
31,15865,8,0
32,12307,8,0
33,24191,8,0
34,16368,8,0
35,23946,9,1
36,9980,9,0
37,7699,9,0
38,15661,9,0
39,16221,9,0
40,12845,9,0
41,16735,10,1
42,9845,10,0
43,43564,11,1
44,16531,11,0
45,12087,11,0
46,14014,12,1
47,43243,12,0
48,2819,12,0
49,2150,12,0
50,29322,12,0
51,28574,12,0
52,15497,12,0
53,3373,12,0
54,12062,12,0
55,14026,12,0
56,14733,12,0
57,10864,12,0
58,13739,12,0
59,12135,12,0
60,13085,12,0
61,10147,12,0
62,11888,12,0
63,17055,12,0
64,12460,12,0
65,15159,12,0
66,914,12,0
67,13394,12,0
68,15720,12,0
69,16263,13,1
70,9272,13,0
71,7050,13,0
72,35628,13,0
73,11546,14,1
74,12990,14,0
75,12243,14,0
76,10630,14,0
77,11548,14,0
78,16421,14,0
79,7488,14,0
80,22601,15,1
81,454,15,0
82,13294,15,0
83,46063,15,0
84,4913,15,0
85,25798,15,0
86,13536,15,0
87,14774,15,0
88,22884,16,1
89,43601,16,0
90,46090,17,1
91,10738,17,0
92,27526,17,0
93,2818,18,1
94,27866,19,1
95,14747,19,0
96,13295,19,0
97,10235,19,0
98,11075,20,1
99,10184,20,0
100,10741,20,0
101,15332,20,0
102,44436,20,0
103,10862,20,0
104,27950,20,0
105,16207,20,0
106,46091,20,0
107,10274,20,0
108,9526,20,0
109,42639,20,0
110,14485,20,0
111,15364,20,0
112,16186,20,0
113,10742,20,0
114,16575,20,0
115,16574,20,0
116,10119,20,0
117,29228,20,0
118,2095,20,0
119,917,20,0
120,10722,20,0
121,2647,20,0
122,11089,20,0
123,15300,21,1
124,14093,21,0
125,28484,22,1
126,27877,22,0
127,15556,22,0
128,26603,23,1
129,27937,24,1
130,31313,25,1
131,15007,26,1
132,29148,26,0
133,31135,27,1
134,15906,27,0
135,31136,27,0
136,7852,27,0
137,29782,27,0
138,30552,28,1
139,44217,28,0
140,27987,28,0
141,13308,29,1
142,28065,30,1
143,18606,31,1
144,46375,32,1
145,3403,32,0
146,17679,32,0
147,28238,33,1
148,29619,33,0
149,11768,34,1
150,22801,34,0
151,10911,34,0
152,27041,34,0
153,15555,35,1
154,30462,35,0
155,46373,36,1
156,13581,37,1
157,31205,37,0
158,18991,37,0
159,28096,37,0
160,32010,37,0
161,28124,37,0
162,10804,37,0
163,19098,37,0
164,16610,37,0
165,21489,37,0
166,45192,37,0
167,26602,37,0
168,2701,37,0
169,28143,37,0
170,28542,37,0
171,31125,37,0
172,16456,38,1
173,30551,38,0
174,24038,38,0
175,26803,38,0
176,10389,38,0
177,9167,38,0
178,5225,38,0
179,19684,38,0
180,45536,38,0
181,17803,38,0
182,24991,38,0
183,10890,38,0
184,11179,38,0
185,27483,38,0
186,28498,38,0
187,3372,38,0
188,27081,38,0
189,2700,38,0
190,11529,38,0
191,28054,38,0
192,31225,38,0
193,46345,38,0
194,45912,39,1
195,13533,39,0
196,29368,39,0
197,43356,39,0
198,14385,39,0
199,45535,39,0
200,32443,39,0
201,15978,39,0
202,28585,40,1
203,27050,40,0
204,880,40,0
205,25730,40,0
206,14046,40,0
