iteration,record_id,n_inclusions,label
0,18033,1,1
1,46132,1,0
2,32587,1,0
3,32904,1,0
4,33781,1,0
5,6792,1,0
6,27924,1,0
7,31810,1,0
8,27787,1,0
9,367,1,0
10,684,1,0
11,14955,1,0
12,18093,2,1
13,12548,2,0
14,35998,2,0
15,12707,2,0
16,48047,2,0
17,14780,3,1
18,12866,4,1
19,26174,4,0
20,18137,4,0
21,8166,4,0
22,11131,4,0
23,13241,5,1
24,47373,5,0
25,47170,6,1
26,18196,6,0
27,26605,7,1
28,26878,7,0
29,13560,7,0
30,10833,7,0
31,28824,7,0
32,17723,7,0
33,13322,7,0
34,14154,7,0
35,17818,7,0
36,11101,7,0
37,17396,7,0
38,16739,8,1
39,17631,8,0
40,18365,8,0
41,3120,8,0
42,18023,8,0
43,32658,8,0
44,3363,9,1
45,15824,9,0
46,18384,9,0
47,1064,9,0
48,11911,9,0
49,15743,9,0
50,10673,9,0
51,17201,9,0
52,17411,9,0
53,15057,9,0
54,47781,9,0
55,15196,9,0
56,16427,9,0
57,8411,9,0
58,39374,9,0
59,13096,9,0
60,18611,10,1
61,47372,10,0
62,47739,11,1
63,13726,11,0
64,15524,12,1
65,46656,12,0
66,13020,12,0
67,15312,12,0
68,3281,12,0
69,11021,12,0
70,12875,12,0
71,7738,12,0
72,31777,12,0
73,13296,12,0
74,14781,12,0
75,13377,12,0
76,11111,12,0
77,15538,12,0
78,3897,12,0
79,24910,12,0
80,11621,12,0
81,11757,12,0
82,2495,12,0
83,18968,12,0
84,16828,12,0
85,15368,12,0
86,14417,12,0
87,15616,12,0
88,11304,12,0
89,27831,12,0
90,17200,12,0
91,16368,12,0
92,17468,12,0
93,16353,12,0
94,14066,13,1
95,31673,13,0
96,27967,13,0
97,32126,13,0
98,29497,14,1
99,31020,14,0
100,31088,14,0
101,47308,14,0
102,14306,15,1
103,16655,16,1
104,34802,16,0
105,16654,17,1
106,32452,17,0
107,34618,17,0
108,48493,17,0
109,16815,18,1
110,14487,18,0
111,34619,18,0
112,33992,19,1
113,48492,19,0
114,22102,19,0
115,29496,19,0
116,15000,20,1
117,34690,20,0
118,33181,20,0
119,31193,21,1
120,50583,21,0
121,19670,21,0
122,34689,21,0
123,30498,21,0
124,17677,21,0
125,31229,21,0
126,35591,21,0
127,11972,21,0
128,35555,21,0
129,32549,21,0
130,29997,21,0
131,50904,21,0
132,12964,22,1
133,33163,22,0
134,16425,22,0
135,27097,22,0
136,50584,22,0
137,18296,23,1
138,23853,23,0
139,21236,23,0
140,9926,23,0
141,31738,23,0
142,11300,23,0
143,10429,23,0
144,26708,23,0
145,17265,24,1
146,33895,24,0
147,31280,24,0
148,14681,25,1
149,14678,26,1
150,20699,26,0
151,26277,26,0
152,26861,26,0
153,50935,27,1
154,31386,28,1
155,30229,28,0
156,11873,28,0
157,11759,28,0
158,32983,28,0
159,31259,28,0
160,18473,28,0
161,31867,28,0
162,21122,28,0
163,49589,28,0
164,11843,28,0
165,3937,28,0
166,21123,28,0
167,11606,28,0
168,12348,28,0
169,11767,29,1
170,25453,29,0
171,25361,29,0
172,12299,29,0
173,28947,29,0
174,21884,29,0
175,14310,29,0
176,996,29,0
177,34683,29,0
178,11760,29,0
179,50933,30,1
180,11073,30,0
181,11947,30,0
